nb_precision,nb_recall,nb_f1,lr_precision,lr_recall,lr_f1,svm_precision,svm_recall,svm_f1
0.0,0.0,0.0,0.5833333333333334,0.7,0.6363636363636364,0.55,0.55,0.55
0.0,0.0,0.0,0.631578947368421,0.6,0.6153846153846154,0.5,0.3,0.375
0.0,0.0,0.0,0.7142857142857143,0.5,0.5882352941176471,0.6923076923076923,0.45,0.5454545454545454
0.0,0.0,0.0,0.6470588235294118,0.55,0.5945945945945946,0.6923076923076923,0.45,0.5454545454545454
0.0,0.0,0.0,0.6666666666666666,0.6,0.631578947368421,0.6842105263157895,0.65,0.6666666666666666
0.0,0.0,0.0,0.6428571428571429,0.45,0.5294117647058824,0.6363636363636364,0.35,0.45161290322580644
0.0,0.0,0.0,0.5882352941176471,0.5,0.5405405405405406,0.5,0.3,0.375
0.0,0.0,0.0,0.5625,0.45,0.5,0.6428571428571429,0.45,0.5294117647058824
0.0,0.0,0.0,0.7777777777777778,0.7,0.7368421052631579,0.75,0.6,0.6666666666666666
0.0,0.0,0.0,0.5833333333333334,0.35,0.4375,0.6363636363636364,0.35,0.45161290322580644
0.0,0.0,0.0,0.6190476190476191,0.65,0.6341463414634146,0.5882352941176471,0.5,0.5405405405405406
0.0,0.0,0.0,0.6818181818181818,0.75,0.7142857142857143,0.6818181818181818,0.75,0.7142857142857143
0.0,0.0,0.0,0.5294117647058824,0.45,0.4864864864864865,0.6428571428571429,0.45,0.5294117647058824
0.0,0.0,0.0,0.631578947368421,0.6,0.6153846153846154,0.5555555555555556,0.5,0.5263157894736842
0.0,0.0,0.0,0.625,0.5,0.5555555555555556,0.6923076923076923,0.45,0.5454545454545454
0.0,0.0,0.0,0.625,0.5,0.5555555555555556,0.5454545454545454,0.3,0.3870967741935484
0.0,0.0,0.0,0.5,0.55,0.5238095238095238,0.4666666666666667,0.35,0.4
0.0,0.0,0.0,0.65,0.65,0.65,0.631578947368421,0.6,0.6153846153846154
0.0,0.0,0.0,0.5,0.45,0.47368421052631576,0.5714285714285714,0.4,0.47058823529411764
0.0,0.0,0.0,0.47058823529411764,0.4,0.43243243243243246,0.5294117647058824,0.45,0.4864864864864865
0.0,0.0,0.0,0.7142857142857143,0.5,0.5882352941176471,0.7272727272727273,0.4,0.5161290322580645
0.0,0.0,0.0,0.6153846153846154,0.4,0.48484848484848486,0.5,0.25,0.3333333333333333
0.0,0.0,0.0,0.5333333333333333,0.4,0.45714285714285713,0.6363636363636364,0.35,0.45161290322580644
0.0,0.0,0.0,0.6111111111111112,0.55,0.5789473684210527,0.5882352941176471,0.5,0.5405405405405406
0.0,0.0,0.0,0.5384615384615384,0.35,0.42424242424242425,0.7142857142857143,0.25,0.37037037037037035
0.0,0.0,0.0,0.65,0.65,0.65,0.5882352941176471,0.5,0.5405405405405406
0.0,0.0,0.0,0.6666666666666666,0.6,0.631578947368421,0.6666666666666666,0.6,0.631578947368421
0.0,0.0,0.0,0.5909090909090909,0.65,0.6190476190476191,0.6,0.45,0.5142857142857142
0.0,0.0,0.0,0.5294117647058824,0.45,0.4864864864864865,0.5625,0.45,0.5
0.0,0.0,0.0,0.6,0.6,0.6,0.6470588235294118,0.55,0.5945945945945946
